image_id,file_name,manga_title,width,height,area,onomatopoeia_count,body_count
0,ARMS/000.jpg,ARMS,1654,1170,1935180,0,0
1,ARMS/001.jpg,ARMS,1654,1170,1935180,0,0
2,ARMS/002.jpg,ARMS,1654,1170,1935180,3,1
3,ARMS/003.jpg,ARMS,1654,1170,1935180,10,5
4,ARMS/004.jpg,ARMS,1654,1170,1935180,2,6
5,ARMS/005.jpg,ARMS,1654,1170,1935180,6,3
6,ARMS/006.jpg,ARMS,1654,1170,1935180,13,7
7,ARMS/007.jpg,ARMS,1654,1170,1935180,11,5
8,ARMS/008.jpg,ARMS,1654,1170,1935180,16,9
9,ARMS/009.jpg,ARMS,1654,1170,1935180,14,5
10,ARMS/010.jpg,ARMS,1654,1170,1935180,16,7
11,ARMS/011.jpg,ARMS,1654,1170,1935180,3,5
12,ARMS/012.jpg,ARMS,1654,1170,1935180,0,7
13,ARMS/013.jpg,ARMS,1654,1170,1935180,10,9
14,ARMS/014.jpg,ARMS,1654,1170,1935180,10,8
15,ARMS/015.jpg,ARMS,1654,1170,1935180,3,4
16,ARMS/016.jpg,ARMS,1654,1170,1935180,6,2
17,ARMS/017.jpg,ARMS,1654,1170,1935180,11,6
18,ARMS/018.jpg,ARMS,1654,1170,1935180,4,2
19,ARMS/019.jpg,ARMS,1654,1170,1935180,4,10
20,ARMS/020.jpg,ARMS,1654,1170,1935180,8,6
21,ARMS/021.jpg,ARMS,1654,1170,1935180,11,6
22,ARMS/022.jpg,ARMS,1654,1170,1935180,2,2
23,ARMS/023.jpg,ARMS,1654,1170,1935180,6,4
24,ARMS/024.jpg,ARMS,1654,1170,1935180,11,3
25,ARMS/025.jpg,ARMS,1654,1170,1935180,7,5
26,ARMS/026.jpg,ARMS,1654,1170,1935180,6,2
27,ARMS/027.jpg,ARMS,1654,1170,1935180,6,3
28,ARMS/028.jpg,ARMS,1654,1170,1935180,7,7
29,ARMS/029.jpg,ARMS,1654,1170,1935180,5,10
30,ARMS/030.jpg,ARMS,1654,1170,1935180,3,14
31,ARMS/031.jpg,ARMS,1654,1170,1935180,10,9
32,ARMS/032.jpg,ARMS,1654,1170,1935180,12,9
33,ARMS/033.jpg,ARMS,1654,1170,1935180,7,10
34,ARMS/034.jpg,ARMS,1654,1170,1935180,0,3
35,ARMS/035.jpg,ARMS,1654,1170,1935180,9,5
36,ARMS/036.jpg,ARMS,1654,1170,1935180,1,4
37,ARMS/037.jpg,ARMS,1654,1170,1935180,5,11
38,ARMS/038.jpg,ARMS,1654,1170,1935180,6,0
39,ARMS/039.jpg,ARMS,1654,1170,1935180,14,2
40,ARMS/040.jpg,ARMS,1654,1170,1935180,5,5
41,ARMS/041.jpg,ARMS,1654,1170,1935180,6,11
42,ARMS/042.jpg,ARMS,1654,1170,1935180,0,9
43,ARMS/043.jpg,ARMS,1654,1170,1935180,1,4
44,ARMS/044.jpg,ARMS,1654,1170,1935180,1,6
45,ARMS/045.jpg,ARMS,1654,1170,1935180,5,3
46,ARMS/046.jpg,ARMS,1654,1170,1935180,1,6
47,ARMS/047.jpg,ARMS,1654,1170,1935180,2,3
48,ARMS/048.jpg,ARMS,1654,1170,1935180,8,4
49,ARMS/049.jpg,ARMS,1654,1170,1935180,14,3
50,ARMS/050.jpg,ARMS,1654,1170,1935180,9,5
51,ARMS/051.jpg,ARMS,1654,1170,1935180,6,10
52,ARMS/052.jpg,ARMS,1654,1170,1935180,0,4
53,ARMS/053.jpg,ARMS,1654,1170,1935180,0,0
54,ARMS/054.jpg,ARMS,1654,1170,1935180,8,0
55,ARMS/055.jpg,ARMS,1654,1170,1935180,8,6
56,ARMS/056.jpg,ARMS,1654,1170,1935180,5,5
57,ARMS/057.jpg,ARMS,1654,1170,1935180,4,9
58,ARMS/058.jpg,ARMS,1654,1170,1935180,6,5
59,ARMS/059.jpg,ARMS,1654,1170,1935180,8,4
60,ARMS/060.jpg,ARMS,1654,1170,1935180,4,6
61,ARMS/061.jpg,ARMS,1654,1170,1935180,8,5
62,ARMS/062.jpg,ARMS,1654,1170,1935180,12,9
63,ARMS/063.jpg,ARMS,1654,1170,1935180,11,4
64,ARMS/064.jpg,ARMS,1654,1170,1935180,9,3
65,ARMS/065.jpg,ARMS,1654,1170,1935180,7,5
66,ARMS/066.jpg,ARMS,1654,1170,1935180,1,1
67,ARMS/067.jpg,ARMS,1654,1170,1935180,0,0
68,ARMS/068.jpg,ARMS,1654,1170,1935180,6,3
69,ARMS/069.jpg,ARMS,1654,1170,1935180,4,3
70,ARMS/070.jpg,ARMS,1654,1170,1935180,5,9
71,ARMS/071.jpg,ARMS,1654,1170,1935180,9,8
72,ARMS/072.jpg,ARMS,1654,1170,1935180,11,12
73,ARMS/073.jpg,ARMS,1654,1170,1935180,4,10
74,ARMS/074.jpg,ARMS,1654,1170,1935180,4,17
75,ARMS/075.jpg,ARMS,1654,1170,1935180,4,9
76,ARMS/076.jpg,ARMS,1654,1170,1935180,9,4
77,ARMS/077.jpg,ARMS,1654,1170,1935180,8,5
78,ARMS/078.jpg,ARMS,1654,1170,1935180,11,5
79,ARMS/079.jpg,ARMS,1654,1170,1935180,11,3
80,ARMS/080.jpg,ARMS,1654,1170,1935180,0,0
81,ARMS/081.jpg,ARMS,1654,1170,1935180,0,0
82,AisazuNihaIrarenai/000.jpg,AisazuNihaIrarenai,1654,1170,1935180,0,0
83,AisazuNihaIrarenai/001.jpg,AisazuNihaIrarenai,1654,1170,1935180,0,0
84,AisazuNihaIrarenai/002.jpg,AisazuNihaIrarenai,1654,1170,1935180,7,8
85,AisazuNihaIrarenai/003.jpg,AisazuNihaIrarenai,1654,1170,1935180,8,9
86,AisazuNihaIrarenai/004.jpg,AisazuNihaIrarenai,1654,1170,1935180,16,23
87,AisazuNihaIrarenai/005.jpg,AisazuNihaIrarenai,1654,1170,1935180,3,14
88,AisazuNihaIrarenai/006.jpg,AisazuNihaIrarenai,1654,1170,1935180,2,17
89,AisazuNihaIrarenai/007.jpg,AisazuNihaIrarenai,1654,1170,1935180,3,15
90,AisazuNihaIrarenai/008.jpg,AisazuNihaIrarenai,1654,1170,1935180,3,18
91,AisazuNihaIrarenai/009.jpg,AisazuNihaIrarenai,1654,1170,1935180,2,15
92,AisazuNihaIrarenai/010.jpg,AisazuNihaIrarenai,1654,1170,1935180,3,14
93,AisazuNihaIrarenai/011.jpg,AisazuNihaIrarenai,1654,1170,1935180,1,13
94,AisazuNihaIrarenai/012.jpg,AisazuNihaIrarenai,1654,1170,1935180,0,12
95,AisazuNihaIrarenai/013.jpg,AisazuNihaIrarenai,1654,1170,1935180,1,14
96,AisazuNihaIrarenai/014.jpg,AisazuNihaIrarenai,1654,1170,1935180,2,15
97,AisazuNihaIrarenai/015.jpg,AisazuNihaIrarenai,1654,1170,1935180,10,13
98,AisazuNihaIrarenai/016.jpg,AisazuNihaIrarenai,1654,1170,1935180,14,13
99,AisazuNihaIrarenai/017.jpg,AisazuNihaIrarenai,1654,1170,1935180,5,11
100,AisazuNihaIrarenai/018.jpg,AisazuNihaIrarenai,1654,1170,1935180,8,11
101,AisazuNihaIrarenai/019.jpg,AisazuNihaIrarenai,1654,1170,1935180,3,10
102,AisazuNihaIrarenai/020.jpg,AisazuNihaIrarenai,1654,1170,1935180,0,20
103,AisazuNihaIrarenai/021.jpg,AisazuNihaIrarenai,1654,1170,1935180,1,12
104,AisazuNihaIrarenai/022.jpg,AisazuNihaIrarenai,1654,1170,1935180,6,21
105,AisazuNihaIrarenai/023.jpg,AisazuNihaIrarenai,1654,1170,1935180,0,8
106,AisazuNihaIrarenai/024.jpg,AisazuNihaIrarenai,1654,1170,1935180,1,19
107,AisazuNihaIrarenai/025.jpg,AisazuNihaIrarenai,1654,1170,1935180,5,8
108,AisazuNihaIrarenai/026.jpg,AisazuNihaIrarenai,1654,1170,1935180,3,11
109,AisazuNihaIrarenai/027.jpg,AisazuNihaIrarenai,1654,1170,1935180,5,10
110,AisazuNihaIrarenai/028.jpg,AisazuNihaIrarenai,1654,1170,1935180,0,6
111,AisazuNihaIrarenai/029.jpg,AisazuNihaIrarenai,1654,1170,1935180,1,16
112,AisazuNihaIrarenai/030.jpg,AisazuNihaIrarenai,1654,1170,1935180,5,20
113,AisazuNihaIrarenai/031.jpg,AisazuNihaIrarenai,1654,1170,1935180,1,16
114,AisazuNihaIrarenai/032.jpg,AisazuNihaIrarenai,1654,1170,1935180,6,41
115,AisazuNihaIrarenai/033.jpg,AisazuNihaIrarenai,1654,1170,1935180,16,25
116,AisazuNihaIrarenai/034.jpg,AisazuNihaIrarenai,1654,1170,1935180,3,22
117,AisazuNihaIrarenai/035.jpg,AisazuNihaIrarenai,1654,1170,1935180,3,21
118,AisazuNihaIrarenai/036.jpg,AisazuNihaIrarenai,1654,1170,1935180,2,13
119,AisazuNihaIrarenai/037.jpg,AisazuNihaIrarenai,1654,1170,1935180,1,10
120,AisazuNihaIrarenai/038.jpg,AisazuNihaIrarenai,1654,1170,1935180,0,8
